question,answer
What is BSIT?,"BSIT stands for Bachelor of Science in Information Technology. It focuses on IT infrastructure, support, and systems."
What is BSCS?,"BSCS stands for Bachelor of Science in Computer Science. It focuses on programming, data structures, and algorithm design."
What is EMC?,"EMC stands for Entertainment and Multimedia Computing. It focuses on game development, interactive media, and digital design."
What are the requirements for admission?,"The basic requirements include Form 138, birth certificate, and a completed application form."
Whatâ€™s the difference between IT and CS?,"IT focuses on practical tech like networks and support, while CS dives deep into programming and computing theory."
Tell me about EMC.,EMC combines computing and multimedia to develop interactive applications and games.
Do IT and CS share subjects?,"Yes, all three programs share foundational courses like programming and IT basics, but diverge into specializations."
Which course is better for me?,"It depends: IT for practical systems work, CS for coding and theory, EMC for creative media and games."
What jobs can I get with an IT degree?,"IT graduates can work as support specialists, network admins, system analysts, or project managers."
What jobs can I get with a CS degree?,"CS graduates become developers, data scientists, AI engineers, or software architects."
What jobs can I get with an EMC degree?,"EMC graduates often become game developers, animators, AR/VR specialists, or multimedia designers."
How long is the CS program?,"CS, IT, and EMC programs typically take 4 years including an internship or OJT."
"Can you give examples of subjects in IT, CS, and EMC?","IT: Networking, Security. CS: Algorithms, AI. EMC: Game Design, Multimedia Systems."
Are these programs accredited?,"Yes, IT, CS, and EMC are CHED-recognized and may also be accredited by PAASCU or AACCUP."